Dicionario de Dados
Entidade,Atributo,Tipo,Tamanho,Descricao
Dono,id,int,9,id do dono
Dono,Nome,varchar,40,Nome do dono
Dono,CPF,int,11,CPF do dono
Dono,Telefone,int,14,Telefone do dono
Consultas,Id,int,9,Id da consulta
Consultas,data/hora,date,8,data/hora da consulta
Consultas,Motivo,varchar,200,Motivo da consulta
Consultas,Valor,int,9,Valor da consulta
Animais,id,int,9,id do animal
Animais,Nome do Animal,varchar,40,Nome do Animal 
Animais,Raca,varchar,40,Raca do animal
Animais,Sexo,varchar,1,Sexo do animal
